,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
24717,USA,United States of America,1515 S Caron Road,USA0007770,4.2,41.9084,-89.0466,Gas,,,,2000.0,Rochelle Municipal Utilities,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,52308,2019.0,0.215,0.178,0.271,0.306,0.264,0.272,0.024,U.S. Energy Information Administration,,,,,14.81,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24720,USA,United States of America,191 Peachtree Tower,USA0054818,2.4,33.7583,-84.3869,Oil,,,,1991.0,Banyan St./GAP 191 Peachtree Owner  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,48724,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.S. Energy Information Administration,,,,,1.4,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24739,USA,United States of America,4710 Hosting,USA0062162,7.5,44.0708,-92.5223,Oil,,,,2012.0,Epic Hosting  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,,,0.006,0.024,U.S. Energy Information Administration,,,,,4.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24740,USA,United States of America,491 E 48th Street,USA0007268,161.7,42.7553,-86.0853,Gas,Oil,,,1996.1311069882504,City of Holland,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,22235,2019.0,14.308,14.985,0.0,14.034,0.0,50.703,21.103,U.S. Energy Information Administration,,,,,570.23,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24743,USA,United States of America,500MW CC,USA0056196,528.0,40.7889,-73.9069,Gas,Oil,,,2006.0,New York Power Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,3371.908049,3307.582007,2891.4330250000003,2722.3230190000004,2223.712995,2127.987044,2446.46496,U.S. Energy Information Administration,,,,,1861.98,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24745,USA,United States of America,59th Street,USA0002503,17.1,40.7713,-73.9912,Gas,Oil,,,1969.0,Consolidated Edison Co-NY Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,17332,2019.0,0.402,0.293,0.0,0.0,0.0,0.199,0.119,U.S. Energy Information Administration,,,,,60.3,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24747,USA,United States of America,74th Street,USA0002504,37.0,40.768,-73.9515,Oil,,,,1968.0,Consolidated Edison Co-NY Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,17334,2019.0,0.181,0.6940000000000001,0.559,0.521,0.504,0.344,0.316,U.S. Energy Information Administration,,,,,21.68,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24752,USA,United States of America,A B Brown,USA0006137,706.8000000000001,37.9053,-87.715,Coal,Oil,Gas,,1985.9940577249567,Southern Indiana Gas & Elec Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33210,2019.0,2470.211954,0.0,2491.930026,2135.061032,1942.599978,2444.519966,2469.959952,U.S. Energy Information Administration,,,,,3264.83,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24754,USA,United States of America,A L Pierce,USA0006635,84.0,41.4482,-72.8349,Gas,Waste,Oil,,2007.0,Connecticut Mun Elec Engy Coop,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,55374,2019.0,9.06,13.170000000000002,2.323,4.012,4.333,3.52,1.958,U.S. Energy Information Administration,,,,,296.22,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24755,USA,United States of America,A.E.S. Corp.,WRI1026808,454.3,17.9474,-66.1494,Coal,,,,,AES Corporation,Fluor; PREPA,http://www.fluor.com/projects/solid-fueled-power-aes-puerto-rico-epc; http://energia.pr.gov/datos/plantas/,WRI,,,,,,,,,,,,,,,2098.49,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24756,USA,United States of America,A.J. Mihm Generating Station,USA0061391,56.400000000000006,46.7927,-88.614,Gas,,,,2019.0,Upper Michigan Energy Resources Company,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,,,,187.627,U.S. Energy Information Administration,,,,,198.89,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24757,USA,United States of America,ABC Coke,USA0056076,3.8,33.5828,-86.7799,Gas,,,,1997.0,Drummond Company  Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,56875,2019.0,14.022,13.707,2.07,2.989,2.763,5.29,3.031,U.S. Energy Information Administration,,,,,13.4,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24766,USA,United States of America,ACB Energy Parntners LLC - MTF Cogen,USA0062492,7.5,39.3733,-74.4369,Gas,,,,2011.0,ACB Energy Partners LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,,,,61.758,U.S. Energy Information Administration,,,,,26.44,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24770,USA,United States of America,ACM - Midtown Thermal,USA0063483,5.5,39.3598,-74.4342,Gas,Oil,,,2012.0,ACM Energy  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,,,,46.92,U.S. Energy Information Administration,,,,,19.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24778,USA,United States of America,AES Alamitos LLC,USA0000315,1115.0,33.7688,-118.1009,Gas,,,,1962.8878923766813,AES Alamitos LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33109,2019.0,1528.931,1369.722,1052.825,889.395,855.083,958.3,581.118,U.S. Energy Information Administration,,,,,3932.04,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24780,USA,United States of America,AES Hawaii,USA0010673,203.0,21.3034,-158.1065,Coal,Oil,Other,,1992.0,AES Hawaii LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,12453,2019.0,1374.962973,1481.9090440000002,1258.126033,1512.8200040000002,1395.546954,0.0,1317.325003,U.S. Energy Information Administration,,,,,937.69,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24781,USA,United States of America,AES Huntington Beach LLC,USA0000335,218.0,33.6439,-117.9792,Gas,,,,1959.0,AES Huntington Beach LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33131,2019.0,851.663,912.234,722.4970000000001,486.191,408.97,319.522,221.671,U.S. Energy Information Administration,,,,,768.77,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24785,USA,United States of America,AES Petersburg,USA0000994,2154.8,38.5281,-87.2525,Coal,Oil,,,1976.757750139224,Indianapolis Power & Light Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,23044,2019.0,10505.287752,11266.345371,8966.936012000002,9230.343021,9341.582954,9101.269025,8755.390979,U.S. Energy Information Administration,,,,,9953.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24786,USA,United States of America,AES Redondo Beach LLC,USA0000356,821.4,33.8504,-118.395,Gas,,,,1962.4302410518624,AES Redondo Beach LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33159,2019.0,299.63800000000003,249.851,486.888,320.555,514.578,274.507,195.943,U.S. Energy Information Administration,,,,,2896.66,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24787,USA,United States of America,AES Warrior Run Cogeneration Facility,USA0010678,229.0,39.5952,-78.7453,Coal,,,,1999.0,AES WR Ltd Partnership,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,12448,2019.0,1349.561951,1265.667026,1165.822039,984.976003,1108.2370060000003,1142.037014,1103.8100080000002,U.S. Energy Information Administration,,,,,1057.79,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24791,USA,United States of America,AGT000 Stevens Creek Fuel Cell,USA0063699,2.2,37.3249,-121.9989,Gas,,,,2018.0,2016 ESA Project Company  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,,,,18.227,U.S. Energy Information Administration,,,,,7.75,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24792,USA,United States of America,AGT001 Centerville Fuel Cell,USA0063700,1.3,39.7579,-75.6221,Gas,,,,2019.0,2016 ESA Project Company  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,,,,9.289,U.S. Energy Information Administration,,,,,4.58,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24794,USA,United States of America,AL Sandersville LLC,USA0055672,692.0,33.1189,-82.8608,Gas,,,,2002.0,SEPG Operating Services  LLC ALS,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,49338,2019.0,3.529,9.041,7.382000000000001,6.974,1.145,73.109,93.046,U.S. Energy Information Administration,,,,,2440.33,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24797,USA,United States of America,AMEA Peaking,USA0056018,98.6,33.1661,-86.2825,Gas,,,,2004.0,Alabama Municipal Elec Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,0.982,29.378,61.493,46.242,25.61,34.57,53.719,U.S. Energy Information Administration,,,,,347.71,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24800,USA,United States of America,ANP Bellingham Energy Project,USA0055211,578.0,42.1106,-71.4535,Gas,,,,2002.5,ANP Bellingham Energy Company LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,46177,2019.0,1978.236,2235.439,2510.525,2226.285,1999.288,2231.535,1799.773,U.S. Energy Information Administration,,,,,2038.31,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24801,USA,United States of America,ANP Blackstone Energy Project,USA0055212,578.0,42.0599,-71.5158,Gas,,,,2001.0,ANP Blackstone Energy Company LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,38655,2019.0,1872.344,2148.424,2095.413,1524.228,2017.379,2152.772,1672.36,U.S. Energy Information Administration,,,,,2038.31,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24802,USA,United States of America,AOC  Capitol Power Plant,USA0063347,7.5,38.8827,-77.0074,Gas,Oil,,,2018.0,Architect of the Capitol  Capitol Power Plant,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,,,,57.02816000000001,U.S. Energy Information Administration,,,,,26.44,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24804,USA,United States of America,APG Combined Heat and Power Plant,USA0061282,7.9,39.3975,-76.2991,Gas,Oil,,,2017.0,US Dept of Army  Garrison  APG,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,16.112000000000002,50.523,0.0,55.309,U.S. Energy Information Administration,,,,,27.85,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24807,USA,United States of America,APP Prune A-D,USA0062577,4.0,37.3317,-122.0067,Gas,,,,2017.0,Bloom Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,,,0.0,19.597,U.S. Energy Information Administration,,,,,14.1,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24809,USA,United States of America,AT&T Anaheim,USA0061154,1.3,33.8364,-117.9169,Gas,,,,2016.0,Bloom Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,2.728,10.401,10.145,9.424,U.S. Energy Information Administration,,,,,4.58,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24810,USA,United States of America,AT&T Holger,USA0061153,1.3,37.4176,-121.9445,Gas,,,,2016.0,Bloom Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,4.229,10.879,10.55,9.878,U.S. Energy Information Administration,,,,,4.58,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24813,USA,United States of America,ATT  Kelvin,USA0062573,1.0,33.6847,-117.8368,Gas,,,,2017.0,Bloom Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,,,0.0,7.0440000000000005,U.S. Energy Information Administration,,,,,3.52,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24814,USA,United States of America,ATT Jericho,USA0062572,1.0,40.8302,-73.3522,Gas,,,,2017.0,Bloom Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,,,0.0,7.703,U.S. Energy Information Administration,,,,,3.52,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24815,USA,United States of America,ATT North Watney,USA0063605,2.0,38.2363,-122.0778,Gas,,,,2020.0,Bloom Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,,,,6.222,U.S. Energy Information Administration,,,,,7.05,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24816,USA,United States of America,ATT Van Nyus,USA0062574,1.0,34.1963,-118.4482,Gas,,,,2017.0,Bloom Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,,,8.256,7.215,U.S. Energy Information Administration,,,,,3.52,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24817,USA,United States of America,ATT Ventura Blvd,USA0063606,1.0,34.1522,-118.4561,Gas,,,,2019.0,Bloom Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,,,,6.577,U.S. Energy Information Administration,,,,,3.52,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24823,USA,United States of America,Aberdeen CT,USA0003338,111.0,45.4299,-98.494,Gas,Oil,,,2003.918918918919,NorthWestern Energy - (SD),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,28420,2019.0,8.040000000000001,4.093,7.759,9.083,10.379,36.67400000000001,43.908,U.S. Energy Information Administration,,,,,391.44,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24825,USA,United States of America,Acadia Energy Center,USA0055173,1389.1999999999998,30.4286,-92.4131,Gas,,,,2002.0,Cleco Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,3805.772,4515.316000000001,6585.897000000001,6667.548000000001,4767.264,4556.482,4816.801,U.S. Energy Information Administration,,,,,4899.0,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24835,USA,United States of America,Ada Cogeneration LP,USA0010819,33.1,42.9627,-85.4941,Gas,,,,1990.0,Ada Cogeneration Ltd Partnership,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,21209,2019.0,181.253,202.987,166.84,162.129,165.704,183.679,137.12900000000002,U.S. Energy Information Administration,,,,,116.72,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24853,USA,United States of America,Adkins Energy LLC,USA0058136,6.8,42.3622,-89.8036,Gas,,,,2006.5,Adkins Energy LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,54886,2019.0,12.685,26.153,26.277,25.34,29.432,27.612,36.014,U.S. Energy Information Administration,,,,,23.98,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24854,USA,United States of America,Adobe San Jose,USA0057811,1.2000000000000002,37.3306,-121.8931,Gas,,,,2010.0,Bloom Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,68293,2019.0,7.69626,7.657,6.37,8.774000000000001,8.757,8.39,8.338000000000001,U.S. Energy Information Administration,,,,,4.23,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24856,USA,United States of America,Adrian,USA0001956,2.0,43.6371,-95.9328,Oil,,,,2005.0,Adrian Public Utilities Comm,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,12400,2019.0,0.087,0.038,0.024,0.008,0.02,0.013,0.091,U.S. Energy Information Administration,,,,,1.17,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24861,USA,United States of America,Aera San Ardo Cogen Facility,USA0055184,6.2,35.9533,-120.86,Gas,,,,1989.0,Aera Energy LLC-San Ardo,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,46322,2019.0,49.075,50.072,41.263,48.917,47.553,49.041,47.904,U.S. Energy Information Administration,,,,,21.86,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24865,USA,United States of America,Afton Generating Station,USA0055210,287.0,32.1142,-106.8465,Gas,,,,2003.91637630662,Public Service Co of NM,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,48292,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,878.017,U.S. Energy Information Administration,,,,,1012.1,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24868,USA,United States of America,Agnews Power Plant,USA0050748,32.0,37.4058,-121.9272,Gas,,,,1990.0,OLS Energy-Agnews Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,19.285,15.661,31.849,16.64,20.898000000000003,15.801000000000002,6.4670000000000005,U.S. Energy Information Administration,,,,,112.84,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24871,USA,United States of America,Agrium Kenai Nitrogen Operations,USA0054452,12.5,60.6732,-151.3784,Gas,,,,1977.0,Agrium US Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,,,,,,,,,,44.08,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24874,USA,United States of America,Agua Fria,USA0000141,613.5000000000001,33.5561,-112.2153,Gas,Oil,Solar,,1964.571312143439,Salt River Project,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,31940,2019.0,77.023,12.617,109.798998,84.854,199.527,148.612,228.022,U.S. Energy Information Administration,,,,,2163.5,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24875,USA,United States of America,Agua Mansa Power Plant,USA0055951,60.5,34.0414,-117.3603,Gas,,,,2003.0,E I Colton LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,49568,2019.0,39.754,23.668,14.59,6.466,11.648,7.862,4.041,U.S. Energy Information Administration,,,,,213.35,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24876,USA,United States of America,Aguirre,WRI1028012,42.0,17.9533,-66.2312,Gas,,,,,,CEPR,http://energia.pr.gov/datos/plantas/,WRI,,,,,,,,,,,,,,,148.11,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24877,USA,United States of America,Aguirre,WRI1026809,1492.0,17.9519,-66.2308,Oil,,,,1975.0,PREPA,PREPA,http://www.prepa.com/aguirre.asp,WRI,30928,,,,,,,,,,,,,,874.43,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24881,USA,United States of America,Air Products Port Arthur,USA0055309,169.10000000000002,29.8665,-93.9651,Gas,,,,2006.0236546422232,Air Products LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,57836,2019.0,,747.815996,,830.64,1007.139,1208.391,1053.778,U.S. Energy Information Administration,,,,,596.33,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24883,USA,United States of America,Airport Industrial,USA0007995,10.0,38.2844,-104.5308,Oil,,,,2002.0,Black Hills Colorado Electric  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,-0.165,-0.162,-0.203,-0.209,-0.149,-0.239,-0.249,U.S. Energy Information Administration,,,,,5.86,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24887,USA,United States of America,Akron Recycle Energy Plant,USA0054265,4.0,41.0733,-81.5306,Gas,Waste,Oil,Other,1979.0,Akron Energy Systems LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,,,,,,,,,,14.1,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24892,USA,United States of America,Alameda,USA0007450,54.8,37.7886,-122.2889,Gas,Oil,,,1986.0,Northern California Power Agny,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,27937,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,7.208,U.S. Energy Information Administration,,,,,193.25,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24897,USA,United States of America,Alamosa,USA0000464,53.2,37.4594,-105.8947,Gas,Oil,,,1975.0,Public Service Co of Colorado,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,30838,2019.0,9.964,1.866,3.5930000000000004,4.072,0.406,8.794,6.817000000000001,U.S. Energy Information Administration,,,,,187.6,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24899,USA,United States of America,Albany Medical Ctr Cogen Plant,USA0059453,4.6,42.655,-73.7777,Gas,,,,2013.0,Albany Medical Center,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,67931,2019.0,,29.866,31.471,32.284,31.435,32.054,27.594,U.S. Energy Information Administration,,,,,16.22,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24901,USA,United States of America,Albemarle Hospital Unit,USA0056339,1.8,35.3636,-80.1939,Oil,,,,2006.0,North Carolina Mun Power Agny #1,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,57610,2019.0,0.076,0.072,0.066,0.081,0.104,0.066,0.132,U.S. Energy Information Administration,,,,,1.05,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24902,USA,United States of America,Albemarle Prime Power Park,USA0056263,3.6,35.4072,-80.1518,Oil,,,,2006.0,North Carolina Mun Power Agny #1,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,53738,2019.0,-0.012,0.091,0.103,0.09,0.136,0.078,0.168,U.S. Energy Information Administration,,,,,2.1,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24905,USA,United States of America,Albert Einstein College of Medicine,USA0062398,8.6,40.8513,-73.8483,Oil,Gas,,,2005.5930232558144,Albert Einstein College of Medicine,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,,,0.047,0.061,U.S. Energy Information Administration,,,,,5.04,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24907,USA,United States of America,Albertville,USA0007924,4.0,34.3634,-86.2239,Oil,,,,2000.0,Albertville Municipal Utilities Board,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,47961,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.S. Energy Information Administration,,,,,2.34,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
