,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
26202,USA,United States of America,Carrollton,USA0002120,20.6,39.3515,-93.5016,Gas,Oil,,,1969.4611650485435,Carrollton Board of Public Wks,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,15646,2019.0,0.259,,-0.492,0.043,0.0,0.0,0.0,U.S. Energy Information Administration,,,,,72.64,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26203,USA,United States of America,Carson Cogeneration,USA0010169,55.8,33.8759,-118.2491,Gas,,,,1990.0,Carson Cogeneration Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,16934,2019.0,280.08847000000003,35.961,33.199,37.159000000000006,4.841,0.0,24.729,U.S. Energy Information Administration,,,,,196.77,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26204,USA,United States of America,Carson Ice-Gen Project,USA0007527,125.5,38.4457,-121.4624,Gas,Biomass,,,1995.0,Sacramento Municipal Util Dist,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,31877,2019.0,400.556003,395.452002,416.065999,380.260996,286.634996,368.117004,292.516004,U.S. Energy Information Administration,,,,,442.57,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26210,USA,United States of America,Carthage,USA0002121,41.8,37.1766,-94.2994,Gas,Oil,,,1965.074162679426,City of Carthage - (MO),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,15660,2019.0,0.126,-0.624,0.237,-0.1149999999999999,-0.041,-0.018,-0.188,U.S. Energy Information Administration,,,,,147.4,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26211,USA,United States of America,Carthage Energy LLC,USA0010620,62.9,43.9842,-75.6225,Gas,Oil,,,1991.0,Carthage Energy LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33710,2019.0,0.0,11.417,10.062,10.397,0.0,0.0,3.163,U.S. Energy Information Administration,,,,,221.81,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26212,USA,United States of America,Carty Generating Station,USA0058503,500.0,45.6986,-119.8131,Gas,,,,2016.0,Portland General Electric Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,1362.7820000000002,2394.2650000000003,3020.826,2989.615,U.S. Energy Information Administration,,,,,1763.24,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26217,USA,United States of America,Carville Energy LLC,USA0055404,555.0,30.2294,-91.065,Gas,,,,2003.0,Carville Energy LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,46237,2019.0,2246.533,2067.416,2709.824,2495.579,3102.168,3064.512,2970.427,U.S. Energy Information Administration,,,,,1957.2,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26219,USA,United States of America,Cascade,USA0001129,5.2,42.2982,-91.012,Oil,Gas,,,1976.1538461538464,Cascade Municipal Utilities,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,15669,2019.0,0.017,0.011,0.01,0.026,0.066,0.015,0.043,U.S. Energy Information Administration,,,,,3.04,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26220,USA,United States of America,Cascade Creek,USA0006058,84.9,44.0322,-92.4908,Gas,Oil,,,1990.8692579505296,Rochester Public Utilities,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,31579,2019.0,8.316,9.064,34.658,39.268,25.785,34.789,20.340000000000003,U.S. Energy Information Administration,,,,,299.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26226,USA,United States of America,Casey City of,USA0056053,5.4,39.3106,-87.9926,Oil,,,,2002.0,City of Casey - (IL),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,0.04,0.09,0.048,0.047,0.099,0.033,0.036,U.S. Energy Information Administration,,,,,3.16,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26227,USA,United States of America,Cashton,USA0004107,3.5,43.7429,-90.7803,Oil,Gas,,,1983.9428571428573,Village of Cashton - (WI),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,15692,2019.0,0.00686,,0.0049,0.024,0.00882,0.0,0.0,U.S. Energy Information Administration,,,,,2.05,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26231,USA,United States of America,Cass County,USA0055972,345.0,40.9479,-95.964,Gas,,,,2003.0,Omaha Public Power District,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,28897,2019.0,82.621,21.018,16.286,28.252,17.098,116.903,195.085,U.S. Energy Information Administration,,,,,1216.64,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26242,USA,United States of America,Castleton Energy Center,USA0010190,72.0,42.5375,-73.7433,Gas,Oil,,,1992.0,Fortistar Castleton Power,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,23942,2019.0,105.63711,229.367996,283.83499900000004,264.880004,156.869001,130.602,129.475,U.S. Energy Information Administration,,,,,253.9,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
